nom_parfum,marque,nose,launch_year,rating_value,rating_count,main_accords,gender,longevity,sillage,price_feeling,top_notes,middle_notes,base_notes,url
Pluie Sur Ha Long 48468.html,Ella K Parfums,Sonia Constant,2018.0,4.02,324,"['floral', 'aquatic', 'fresh']",female,moderate,average,overpriced,[],[],[],https://www.fragrantica.com/perfume/Ella-K-Parfums/Pluie-Sur-Ha-Long-48468.html
Poeme de Sagano 48467.html,Ella K Parfums,Sonia Constant,2018.0,4.2,405,"['citrus', 'green', 'fresh spicy', 'woody', 'aromatic']",unisex,moderate,average,overpriced,[],[],[],https://www.fragrantica.com/perfume/Ella-K-Parfums/Poeme-de-Sagano-48467.html
Reflet Sur L Okavango 57009.html,Ella K Parfums,Sonia Constant,2019.0,4.16,368,['floral'],female,long lasting,strong,ok,[],[],[],https://www.fragrantica.com/perfume/Ella-K-Parfums/Reflet-Sur-L-Okavango-57009.html
Rose de Pushkar 65424.html,Ella K Parfums,Sonia Constant,2021.0,3.96,90,"['rose', 'amber', 'warm spicy', 'fresh spicy', 'woody', 'oud', 'patchouli', 'musky', 'leather', 'floral']",female,long lasting,average,ok,"['Black Pepper', 'Rose Water', 'Litchi', 'Saffron', 'Olibanum']","['Patchouli', 'Agarwood (Oud)', 'Sandalwood', 'White Cedar Extract', 'Rose']","['Musk', 'Labdanum', 'Amber', 'Tonka Bean', 'Leather']",https://www.fragrantica.com/perfume/Ella-K-Parfums/Rose-de-Pushkar-65424.html
Ghibli 77062.html,Ella K Parfums,Sonia Constant,2021.0,4.27,222,"['leather', 'sweet', 'white floral', 'animalic', 'nutty', 'smoky']",unisex,long lasting,average,ok,[],[],[],https://www.fragrantica.com/perfume/Ella-K-Parfums/Ghibli-77062.html
Harmattan 77949.html,Ella K Parfums,Sonia Constant,2021.0,3.52,54,"['woody', 'fresh spicy', 'aromatic', 'rose', 'leather', 'herbal', 'warm spicy', 'animalic', 'powdery']",male,long lasting,average,overpriced,[],[],[],https://www.fragrantica.com/perfume/Ella-K-Parfums/Harmattan-77949.html
Khamsin 77950.html,Ella K Parfums,Sonia Constant,2021.0,3.78,55,"['leather', 'sweet', 'animalic', 'fruity', 'white floral', 'smoky']",unisex,long lasting,average,ok,[],[],[],https://www.fragrantica.com/perfume/Ella-K-Parfums/Khamsin-77950.html
Bois Imperial 64338.html,Essential Parfums,Quentin Bisch,2020.0,4.18,"8,353","['woody', 'fresh spicy', 'aromatic', 'oud', 'amber', 'green', 'earthy', 'warm spicy']",unisex,long lasting,strong,good value,[],[],[],https://www.fragrantica.com/perfume/Essential-Parfums/Bois-Imperial-64338.html
Bois Imperial Extrait 97259.html,Essential Parfums,Quentin Bisch,2024.0,4.27,395,"['woody', 'fresh spicy', 'aromatic', 'soft spicy', 'amber', 'musky', 'conifer', 'sweet', 'fresh', 'rose']",male,eternal,strong,way overpriced,"['Black Pepper', 'Pink Pepper']",['Rose'],"['Labdanum', 'Atlas Cedar', 'Balsam Fir']",https://www.fragrantica.com/perfume/Essential-Parfums/Bois-Imperial-Extrait-97259.html
Divine Vanille 57088.html,Essential Parfums,Olivier Pescheux,2019.0,4.02,"2,586","['vanilla', 'warm spicy', 'amber', 'cinnamon', 'balsamic', 'aromatic', 'sweet', 'powdery', 'floral', 'woody']",unisex,moderate,average,ok,"['Black Pepper', 'Clary Sage', 'Cinnamon']","['Incense', 'Pomarose', 'Osmanthus']","['Patchouli', 'Musk', 'Tonka Bean', 'Texas Cedar', 'Siam Benzoin', 'Madagascar Vanilla']",https://www.fragrantica.com/perfume/Essential-Parfums/Divine-Vanille-57088.html
