nom_parfum,marque,nose,launch_year,rating_value,rating_count,main_accords,gender,longevity,sillage,price_feeling,top_notes,middle_notes,base_notes,url
Sr. N Noite,Natura,Verônica Kato,2019.0,3.93,56,"['aromatic', 'woody', 'citrus', 'patchouli', 'warm spicy', 'earthy', 'lavender', 'green', 'vanilla', 'white floral']",male,moderate,strong,great value,"['Bergamot', 'Galbanum', 'Lemon']","['Cardamom', 'Orange Blossom', 'Lavender']","['Vetiver', 'Patchouli', 'Vanilla']",https://www.fragrantica.com/perfume/Natura/Sr-N-Noite-56477.html
Sr. N Sândalo,Natura,,2015.0,4.0,11,"['woody', 'lavender', 'powdery', 'aromatic']",,,,,['Lavender'],['Cedar'],['Sandalwood'],https://www.fragrantica.com/perfume/Natura/Sr-N-Sandalo-42443.html
Sr. N Vetiver,Natura,Verônica Kato,,4.09,35,"['woody', 'aromatic', 'earthy', 'citrus', 'green', 'oily']",male,moderate,average,good value,['Bergamot'],"['Cedar', 'Oily Notes']","['Vetiver', 'Earthy Notes']",https://www.fragrantica.com/perfume/Natura/Sr-N-Vetiver-31803.html
Acerola e Hibisco,Natura,Verônica Kato,2022.0,4.21,223,"['citrus', 'floral', 'fruity', 'musky', 'fresh spicy', 'sweet', 'aromatic']",female,moderate,average,good value,"['Bergamot', 'Mandarin Orange', 'Lemon', 'Acerola']","['Hibiscus', 'Hedione']","['Musk', 'Transparent Woods']",https://www.fragrantica.com/perfume/Natura/Acerola-e-Hibisco-76361.html
Acerola e Morango,Natura,Verônica Kato,2014.0,4.17,6,"['fruity', 'sweet']",,,,,[],[],[],https://www.fragrantica.com/perfume/Natura/Acerola-e-Morango-71656.html
Algodão,Natura,Verônica Kato,2012.0,3.93,524,"['lavender', 'musky', 'powdery', 'floral', 'woody', 'vanilla', 'aromatic', 'fresh spicy', 'fresh', 'white floral']",unisex,weak,intimate,good value,"['Citruses', 'Floral Notes', 'Citrus and Floral Notes']","['Vanila', 'Lily-of-the-Valley', 'Lavender']","['Musk', 'Sandalwood', 'Amber', 'Woody Notes']",https://www.fragrantica.com/perfume/Natura/Algodao-33520.html
Algodão em Flor,Natura,Verônica Kato,2019.0,4.18,11,['powdery'],,,,,[],[],[],https://www.fragrantica.com/perfume/Natura/Algodao-em-Flor-61853.html
Algodão Envolvente,Natura,Verônica Kato,2016.0,3.95,22,"['nutty', 'powdery', 'woody', 'floral']",,weak,intimate,,['Hazelnut'],['Cotton Flower'],['Macadamia'],https://www.fragrantica.com/perfume/Natura/Algodao-Envolvente-56937.html
Ameixa e Flor de Baunilha,Natura,Sébastien Cresp,2021.0,4.31,390,"['vanilla', 'fruity', 'sweet', 'white floral', 'woody', 'powdery']",female,moderate,average,good value,['Plum'],"['White Flowers', 'Vanilla Flower']",['Woodsy Notes'],https://www.fragrantica.com/perfume/Natura/Ameixa-e-Flor-de-Baunilha-67415.html
Ameixa e Flor de Cerejeira,Natura,,2018.0,3.99,87,"['fruity', 'floral', 'fresh', 'sweet']",female,weak,intimate,good value,[],[],[],https://www.fragrantica.com/perfume/Natura/Ameixa-e-Flor-de-Cerejeira-48640.html
Ameixa e Gengibre Rosa,Natura,Verônica Kato,2020.0,4.36,50,"['fruity', 'sweet', 'warm spicy', 'fresh']",female,moderate,average,good value,"['Red Fruits', 'Plum']","['Ginger', 'Spicy Notes']",['Flowers'],https://www.fragrantica.com/perfume/Natura/Ameixa-e-Gengibre-Rosa-61433.html
Amora e Amêndoas,Natura,Verônica Kato,2012.0,4.09,47,"['fruity', 'almond', 'sweet', 'nutty']",,moderate,average,,[],[],[],https://www.fragrantica.com/perfume/Natura/Amora-e-Amendoas-35160.html
Amora Vermelha e Jabuticaba,Natura,Verônica Kato,2020.0,4.12,236,"['fruity', 'sweet', 'vanilla', 'cherry', 'powdery']",female,moderate,average,good value,"['Litchi', 'Pomegranate', 'Brazilian Mandarin', 'Red Mulberry', 'Cherry', 'Orange', 'Pear']","['Blackberry', 'Jabuticaba', 'False Jasmine', 'Lily-of-the-Valley', 'Magnolia', 'Plum']","['Vanilla', 'Tonka Bean', 'Sandalwood', 'Amber', 'Musk', 'Caramel']",https://www.fragrantica.com/perfume/Natura/Amora-Vermelha-e-Jabuticaba-61434.html
Avelã e Cassis,Natura,Verônica Kato,2021.0,4.08,37,"['nutty', 'woody', 'aromatic', 'fruity', 'green', 'soft spicy', 'fresh', 'earthy', 'sweet']",female,moderate,average,good value,[],[],[],https://www.fragrantica.com/perfume/Natura/Avela-e-Cassis-65295.html
Avelã e Romã,Natura,Verônica Kato,2013.0,4.2,25,"['woody', 'fruity', 'nutty', 'fresh spicy', 'sour', 'sweet']",,weak,average,,[],[],[],https://www.fragrantica.com/perfume/Natura/Avela-e-Roma-35159.html
Capim Limão e Hortelã,Natura,,2022.0,4.1,186,"['citrus', 'fresh spicy', 'aromatic', 'green', 'herbal', 'fresh', 'floral', 'musky', 'white floral']",unisex,weak,intimate,good value,"['Petitgrain', 'Lemongrass', 'Bergamot', 'Tea', 'Mandarin Orange', 'Green Leaves', 'White Tea', 'Lemon Balm', 'Italian Lemon', 'Verbena']","['Cedar', 'Geranium', 'Lavender', 'Cardamom', 'Lily of the Valley', 'Water Flowers']","['Musk', 'Sandalwood', 'Patchouli', 'Amber']",https://www.fragrantica.com/perfume/Natura/Capim-Limao-e-Hortela-72573.html
